,Squad Name
0,Ajax
1,Atalanta
2,Atlético Madrid
3,Barcelona
4,Başakşehir
5,Bayern Munich
6,Chelsea
7,Club Brugge
8,Dortmund
9,Dynamo Kyiv
10,Ferencváros
11,Inter
12,Juventus
13,Krasnodar
14,Lazio
15,Liverpool
16,Loko Moscow
17,M'Gladbach
18,Manchester City
19,Manchester Utd
20,Marseille
21,Midtjylland
22,Olympiacos
23,Paris S-G
24,Porto
25,RB Leipzig
26,RB Salzburg
27,Real Madrid
28,Rennes
29,Sevilla
30,Shakhtar
31,Zenit
37,Benfica
40,Dinamo Zagreb
42,Galatasaray
43,Genk
46,Leverkusen
47,Lille
50,Lyon
52,Napoli
58,Red Star
60,Slavia Prague
61,Tottenham
62,Valencia
64,AEK Athens
68,CSKA Moscow
71,Hoffenheim
75,Loko
77,Monaco
79,Paris
81,PSV Eindhoven
83,Roma
84,Schalke 04
88,Viktoria Plzeň
89,Young Boys
90,Anderlecht
91,APOEL FC
93,Basel
95,Beşiktaş
96,Celtic
99,Feyenoord
106,Qarabağ FK
111,Spartak Moscow
112,Sporting CP
114,Arsenal
123,FC Copenhagen
125,Legia Warsaw
126,Leicester  City
128,Ludogorets
134,Rostov
137,AC Omonia
140,Antwerp
142,AZ Alkmaar
143,Be'er Sheva
145,Braga
147,CFR Cluj
150,CSKA Sofia
152,Dundalk
155,Gent
156,Granada
159,LASK
160,Lech Poznań
161,Leicester City
165,Maccabi Tel Aviv
167,Milan
168,Molde
170,Nice
172,PAOK
174,Qarabağ Ağdam
175,Rangers
176,Rapid Wien
178,Real Sociedad
180,Rijeka
183,Sivasspor
185,Slovan Liberec
186,Sparta Prague
187,Standard Liège
189,Villarreal
190,Wolfsberger AC
192,Zorya Luhansk
194,APOEL
196,Astana FK
208,Eint Frankfurt
209,Espanyol
210,F91 Dudelange
212,FC Oleksandriya
216,Getafe
223,Lugano
225,Malmö
228,Partizan
236,Rosenborg
237,Saint-Étienne
240,Slovan Bratislava
243,Trabzonspor
244,Vitória
246,Wolfsburg
247,Wolves
249,AÉK Lárnaka
250,Akhisarspor
252,Apollon
255,BATE Borisov
258,Betis
259,Bordeaux
268,Fenerbahçe
272,Jablonec
290,Sarpsborg 08
295,Spartak Trnava
299,Vidi
302,Vorskla Poltava
304,Zürich
306,Apollon Limassol
309,Athletic Club
311,Austria Wien
320,Everton
321,Fastav Zlín
322,FC Astana
324,FCSB
325,FK Vardar
326,Hertha BSC
328,Köln
329,Konyaspor
335,Maccabi Tel
340,Östersund
348,Sheriff Tiraspol
349,Skënderbeu Korçë
355,Vitesse
360,Zulte Waregem
364,Astra Giurgiu
371,Celta Vigo
372,Dundalk FC
377,Fiorentina
378,Gabala FK
388,Mainz 05
392,Osmanlıspor
393,Panathinaikos
401,Sassuolo
405,Southampton
408,Steaua
